question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromatisk; Tobak som; Marine; Krydret; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC1C2CC3CC1C(C(C2)C3=C)O]? Vælg kun én fra [Aromatisk; Tobak som; Marine; Krydret; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Vælg kun én fra [Aromatisk; Tobak som; Marine; Krydret; ]. Skriv ikke nogen kommentarer.",Krydret,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Blomster; Røget; Svovlholdig; Marine; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC1=CC(=C(C(=C1)C)O)C]? Vælg kun én fra [Blomster; Røget; Svovlholdig; Marine; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [2,4,6-Trimethylphenol]? Vælg kun én fra [Blomster; Røget; Svovlholdig; Marine; ]. Skriv ikke nogen kommentarer.",Røget,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Grøn; Honning; Urte; Marine; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CCCCCCCC(OCC)OCC]? Vælg kun én fra [Grøn; Honning; Urte; Marine; ]. Skriv ikke nogen kommentarer.,Hvad er den primære lugtdeskriptor for molekylet? [Octanal diethyl acetal]? Vælg kun én fra [Grøn; Honning; Urte; Marine; ]. Skriv ikke nogen kommentarer.,Grøn,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Svovlholdig; Amber; Krydret; Musk som; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC1C(C2CCCCC2C1(C)C)(C)C]? Vælg kun én fra [Svovlholdig; Amber; Krydret; Musk som; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Vælg kun én fra [Svovlholdig; Amber; Krydret; Musk som; ]. Skriv ikke nogen kommentarer.",Musk som,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Krydret; Marine; Ozon; Powdery; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Vælg kun én fra [Krydret; Marine; Ozon; Powdery; ]. Skriv ikke nogen kommentarer.,Hvad er den primære lugtdeskriptor for molekylet? [alpha-Ionol]? Vælg kun én fra [Krydret; Marine; Ozon; Powdery; ]. Skriv ikke nogen kommentarer.,Powdery,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk som; Powdery; Citrus; Røget; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Vælg kun én fra [Musk som; Powdery; Citrus; Røget; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Vælg kun én fra [Musk som; Powdery; Citrus; Røget; ]. Skriv ikke nogen kommentarer.",Powdery,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Honning; Balsamico; Blomster; Jordnær; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Vælg kun én fra [Honning; Balsamico; Blomster; Jordnær; ]. Skriv ikke nogen kommentarer.,Hvad er den primære lugtdeskriptor for molekylet? [Piperine]? Vælg kun én fra [Honning; Balsamico; Blomster; Jordnær; ]. Skriv ikke nogen kommentarer.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Amber; Honning; Dyreagtig; Anisisk; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CC(CO)C1CCCCCCCCCCC1]? Vælg kun én fra [Amber; Honning; Dyreagtig; Anisisk; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [Cyclododecaneethanol, .beta.-methyl-]? Vælg kun én fra [Amber; Honning; Dyreagtig; Anisisk; ]. Skriv ikke nogen kommentarer.",Amber,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk som; Tobak som; Frugtagtig; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [C1CCCCC(=O)OCCCCCOCCCC1]? Vælg kun én fra [Woody; Musk som; Tobak som; Frugtagtig; ]. Skriv ikke nogen kommentarer.,Hvad er den primære lugtdeskriptor for molekylet? [11-Oxahexadecanolide]? Vælg kun én fra [Woody; Musk som; Tobak som; Frugtagtig; ]. Skriv ikke nogen kommentarer.,Musk som,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisisk; Aromatisk; Balsamico; Jordnær; ,primary_odor_descriptor,Hvad er den primære lugtdeskriptor for molekylet? [CCCCC/C=C/COC(=O)C]? Vælg kun én fra [Anisisk; Aromatisk; Balsamico; Jordnær; ]. Skriv ikke nogen kommentarer.,"Hvad er den primære lugtdeskriptor for molekylet? [2-Octen-1-ol, 1-acetate]? Vælg kun én fra [Anisisk; Aromatisk; Balsamico; Jordnær; ]. Skriv ikke nogen kommentarer.",Jordnær,Descriptor 2=Mushroom;Descriptor 3=Lavender
