question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Τρόφιμα όπως; Πικάντικο; Φυτικά; Λουλουδάτο; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.",Λουλουδάτο,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Κεχριμπάρι; Φυτικά; Πικάντικο; Εσπεριδοειδή; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCCC1=CC2=C(C=C1)OCO2]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [Dihydrosafrole]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Πικάντικο,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Βαλσάμικο; Φυτικά; Τρόφιμα όπως; Φρουτώδης; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCCCCCOC(=O)CC(C)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [Hexyl isovalerate]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Φρουτώδης,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Γούντι; Καπνιστός; Μουσκ όπως; Φρουτώδης; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCCC(CCO)SC]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [3-(Methylthio)-1-hexanol]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Φρουτώδης,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Βαλσάμικο; Τρόφιμα όπως; Γούντι; Μουσκ όπως; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCC1=NC(=CS1)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [2-Ethyl-4-methylthiazole]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Τρόφιμα όπως,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Φρουτώδης; Μέντα; Εσπεριδοειδή; Λουλουδάτο; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCCCCCCCCCCCCC(=O)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [2-Pentadecanone]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Λουλουδάτο,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Καπνιστός; Πράσινο; Φυτικά; Φρουτώδης; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [Carvyl propionate]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Φυτικά,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Πράσινο; Φρουτώδης; Αλδεϋδικό; Όζον; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCCCCCC(=O)CC]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [3-Nonanone]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Φρουτώδης,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Αρωματικό; Ναυτικός; Φυτικά; Βαλσάμικο; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.",Φυτικά,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Εσπεριδοειδή; Μέλι; Καπνιστός; Φυτικά; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφικός όρος της οσμής ενός μορίου; [Isobornyl acetate]? Επιλέξτε μόνο ένα από τα [OPTIONS]. Μην γράφετε σχόλια.,Φυτικά,Descriptor 2=Pine;Descriptor 3=Green
