question_ID,compound.name,SMILES_1,SMILES_2,question_category,prompt.1,prompt.2,answer,Intensity_1,Intensity_2
INT-0001,S-methyl butanethioate,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,CCCC(=O)SC,Intensity,,,CCCC(=O)SC | S-methyl butanethioate,6.9333333333,92.0625
INT-0002,"1,4-Dithiane-2,5-diol",CC(C)O,OC1CSC(O)CS1,Intensity,,,"OC1CSC(O)CS1 | 1,4-Dithiane-2,5-diol",10.235294118,87.979166667
INT-0003,Furfuryl mercaptan formate,c1ccccc1,O=CO.SCc1ccco1,Intensity,,,O=CO.SCc1ccco1 | Furfuryl mercaptan formate,12.086956522,87.309278351
INT-0004,Cyclopentanethiol,O=C(O)CCCCC(=O)O,SC1CCCC1,Intensity,,,SC1CCCC1 | Cyclopentanethiol,14.652173913,85.824742268
INT-0005,Diethyl disulfide,CC(C)CCOC(=O)C=Cc1ccccc1,CCSSCC,Intensity,,,CCSSCC | Diethyl disulfide,14.708333333,85.734693878
INT-0006,"2-Acetyl-3,5-dimethylpyrazine",CCCCCCCC,CC(=O)c1ncc(C)nc1C,Intensity,,,"CC(=O)c1ncc(C)nc1C | 2-Acetyl-3,5-dimethylpyrazine",14.866666667,85.265306122
INT-0007,1-Hepten-3-OL,CCCCO,C=CC(O)CCCC,Intensity,,,C=CC(O)CCCC | 1-Hepten-3-OL,14.958333333,84.9375
INT-0008,Hexanoic Acid,CC[C@H](C)O,CCCCCC(=O)O,Intensity,,,CCCCCC(=O)O | Hexanoic Acid,15.153846154,84.795918367
INT-0009,2-(1-Methylpropyl)thiazole,C[C@H](N)C(=O)O,CCC(C)c1nccs1,Intensity,,,CCC(C)c1nccs1 | 2-(1-Methylpropyl)thiazole,15.47826087,84.673469388
INT-0010,2-Isopropylphenol,O=C(O)CC(O)(CC(=O)O)C(=O)O,CC(C)c1ccccc1O,Intensity,,,CC(C)c1ccccc1O | 2-Isopropylphenol,15.785714286,84.0625
INT-0011,2-Ethylphenol,c1ccncc1,CCc1ccccc1O,Intensity,,,CCc1ccccc1O | 2-Ethylphenol,16.682926829,84.06122449
INT-0012,Butanal,CCCCN,CCCC=O,Intensity,,,CCCC=O | Butanal,18.142857143,83.416666667
INT-0013,4-Pentenoic acid,CCCCCCCCCCCCCCCCCC(=O)OCC,C=CCCC(=O)O,Intensity,,,C=CCCC(=O)O | 4-Pentenoic acid,18.315789474,82.959183673
INT-0014,Methyl (methylthio)acetate,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,COC(=O)CSC,Intensity,,,COC(=O)CSC | Methyl (methylthio)acetate,18.352941176,82.333333333
INT-0015,Benzyl Isothiocyanate,CC(=O)O,S=C=NCc1ccccc1,Intensity,,,S=C=NCc1ccccc1 | Benzyl Isothiocyanate,18.785714286,82.204081633
INT-0016,Methyl butyrate,O=C(O)/C=C/C(=O)O,CCCC(=O)OC,Intensity,,,CCCC(=O)OC | Methyl butyrate,18.833333333,81.630434783
INT-0017,2'-Hydroxyacetophenone,CO,CC(=O)c1ccccc1O,Intensity,,,CC(=O)c1ccccc1O | 2'-Hydroxyacetophenone,19.052631579,81.306122449
INT-0018,2-Isobutyl-3-methoxypyrazine,O=C(OCCc1ccccc1)c1ccccc1O,COc1nccnc1CC(C)C,Intensity,,,COc1nccnc1CC(C)C | 2-Isobutyl-3-methoxypyrazine,19.466666667,81.06122449
INT-0019,2-Ethyl-3-Methylpyrazine,O=C(OCCc1ccccc1)c1ccccc1,CCc1nccnc1C,Intensity,,,CCc1nccnc1C | 2-Ethyl-3-Methylpyrazine,19.588235294,81.020833333
INT-0020,Acetophenone,CC(=O)OC/C=C(\C)CCC=C(C)C,CC(=O)c1ccccc1,Intensity,,,CC(=O)c1ccccc1 | Acetophenone,20.173076923,80.918367347
INT-0021,P-Cresol,CCCCCCCCCCCCCC(=O)OC(C)C,Cc1ccc(O)cc1,Intensity,,,Cc1ccc(O)cc1 | P-Cresol,20.714285714,80.916666667
INT-0022,2-Acetylpyridine,c1cnccn1,CC(=O)c1ccccn1,Intensity,,,CC(=O)c1ccccn1 | 2-Acetylpyridine,20.8,80.612244898
INT-0023,Allyl butyrate,CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,C=CCOC(=O)CCC,Intensity,,,C=CCOC(=O)CCC | Allyl butyrate,21.066666667,80.591836735
INT-0024,Butanedione,CC=C(C=O)c1ccccc1,CC(=O)C(C)=O,Intensity,,,CC(=O)C(C)=O | Butanedione,21.083333333,80.5625
INT-0025,2-Ethylhexanol,O=C(OCc1ccccc1)c1ccccc1,CCCCC(CC)CO,Intensity,,,CCCCC(CC)CO | 2-Ethylhexanol,21.095238095,80.520833333
INT-0026,2-Ethylpyrazine,CCCCCCCCCCCC(=O)OCCC(C)C,CCc1cnccn1,Intensity,,,CCc1cnccn1 | 2-Ethylpyrazine,21.9,80.12244898
INT-0027,2-Acetyl-3-ethylpyrazine,COc1ccc(OC)cc1,CCc1nccnc1C(C)=O,Intensity,,,CCc1nccnc1C(C)=O | 2-Acetyl-3-ethylpyrazine,22.195121951,80.020408163
INT-0028,"3-Acetyl-2,5-dimethylthiophene",N[C@@H](CC(=O)O)C(=O)O,CC(=O)c1cc(C)sc1C,Intensity,,,"CC(=O)c1cc(C)sc1C | 3-Acetyl-2,5-dimethylthiophene",22.65,79.244897959
INT-0029,2-Ethoxythiazole,CCCSCCC,CCOc1nccs1,Intensity,,,CCOc1nccs1 | 2-Ethoxythiazole,22.714285714,79.229166667
INT-0030,Difurfuryl sulfide,O=C1CCCCCCCCCCCCCCO1,c1coc(CSCc2ccco2)c1,Intensity,,,c1coc(CSCc2ccco2)c1 | Difurfuryl sulfide,23.0,79.020833333
INT-0031,Ethyl Propionate,CCCCCCCCCCC,CCOC(=O)CC,Intensity,,,CCOC(=O)CC | Ethyl Propionate,23.047619048,78.958333333
INT-0032,cis-3-HEXENYL ACETATE,C/C=C/C=C/COC(C)=O,CC/C=C\CCOC(C)=O,Intensity,,,CC/C=C\CCOC(C)=O | cis-3-HEXENYL ACETATE,23.125,78.70212766
INT-0033,"1,3-Diphenyl-2-propanone",NCCc1ccc(O)cc1,O=C(Cc1ccccc1)Cc1ccccc1,Intensity,,,"O=C(Cc1ccccc1)Cc1ccccc1 | 1,3-Diphenyl-2-propanone",23.25,78.625
INT-0034,Ethyl butyrate,CS(C)(=O)=O,CCCC(=O)OCC,Intensity,,,CCCC(=O)OCC | Ethyl butyrate,23.523809524,78.428571429
INT-0035,Salicylaldehyde,C=C(C)[C@@H]1CC[C@@H](C)C[C@H]1O,O=Cc1ccccc1O,Intensity,,,O=Cc1ccccc1O | Salicylaldehyde,24.217391304,78.382978723
INT-0036,"2-Nonen-1-ol, (2Z)-",CCCCCCCCCCCCO,CCCCCC/C=C\CO,Intensity,,,"CCCCCC/C=C\CO | 2-Nonen-1-ol, (2Z)-",24.277777778,78.270833333
INT-0037,2-(Methylthio)ethanol,COc1ccc(O)c(C(C)(C)C)c1,CSCCO,Intensity,,,CSCCO | 2-(Methylthio)ethanol,24.7,77.895833333
INT-0038,"2,6-Lutidine",CCCCCCCC(=O)OCCCCCC,Cc1cccc(C)n1,Intensity,,,"Cc1cccc(C)n1 | 2,6-Lutidine",24.769230769,77.857142857
INT-0039,Benzaldehyde,CCCCCCCC(=O)OCCC(C)C,O=Cc1ccccc1,Intensity,,,O=Cc1ccccc1 | Benzaldehyde,24.793103448,77.489795918
INT-0040,Ethylbenzene,C=C(C)OC(C)=O,CCc1ccccc1,Intensity,,,CCc1ccccc1 | Ethylbenzene,24.844444444,77.367346939
INT-0041,1-Furfurylpyrrole,COC(=O)c1ccccc1,c1coc(Cn2cccc2)c1,Intensity,,,c1coc(Cn2cccc2)c1 | 1-Furfurylpyrrole,25.088888889,77.29787234
INT-0042,Vanillin,CCCCCCCCCC(OC)OC,COc1cc(C=O)ccc1O,Intensity,,,COc1cc(C=O)ccc1O | Vanillin,25.266666667,77.291666667
INT-0043,Butyl Acetate,c1cscn1,CCCCOC(C)=O,Intensity,,,CCCCOC(C)=O | Butyl Acetate,25.413793103,76.479166667
INT-0044,Ethyl hexanoate,C1CCNC1,CCCCCC(=O)OCC,Intensity,,,CCCCCC(=O)OCC | Ethyl hexanoate,25.647058824,76.4375
INT-0045,Piperidine,Cc1nc(C)c(C)nc1C,C1CCNCC1,Intensity,,,C1CCNCC1 | Piperidine,26.12,76.340425532
INT-0046,Ethyl valerate,CCOC(=O)CC(O)C(=O)OCC,CCCCC(=O)OCC,Intensity,,,CCCCC(=O)OCC | Ethyl valerate,26.607142857,76.208333333
INT-0047,3-Acetylpyridine,COC(C)=O,CC(=O)c1cccnc1,Intensity,,,CC(=O)c1cccnc1 | 3-Acetylpyridine,27.05,76.020408163
INT-0048,Methional,CCC(=O)O,CSCCC=O,Intensity,,,CSCCC=O | Methional,27.08988764,75.988888889
INT-0049,Anisole,Cc1ccco1,COc1ccccc1,Intensity,,,COc1ccccc1 | Anisole,27.259259259,75.895833333
INT-0050,Methyl Anthranilate,CC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,COC(=O)c1ccccc1N,Intensity,,,COC(=O)c1ccccc1N | Methyl Anthranilate,27.296296296,75.333333333
