question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"2,3-Dimethylpentanal",CCC(C)C(C)C=O,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CCC(C)C(C)C=O? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха применимы к молекуле 2,3-Dimethylpentanal? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",летучий;зеленый;,
2,Diisopentyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CC(C)CCOC(=O)CCC(=O)OCCC(C)C? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,Какие из следующих описаний запаха применимы к молекуле Diisopentyl succinate? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,виноградный;винный;фруктовый;,
3,"1,1-Diethoxyisooctane",CCOC(CCCCC(C)C)OCC,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CCOC(CCCCC(C)C)OCC? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха применимы к молекуле 1,1-Diethoxyisooctane? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",зеленый;фруктовый;зелёный;,
4,4-Methyl-2-(methylsulfanylmethyl)pent-2-enal,CSCC(C=O)=CC(C)C,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CSCC(C=O)=CC(C)C? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,Какие из следующих описаний запаха применимы к молекуле 4-Methyl-2-(methylsulfanylmethyl)pent-2-enal? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,сернистый;резкий;травяной;пряный;,
5,"Butanoic acid, 3-methyl-, pentyl ester",CCCCCOC(=O)CC(C)C,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CCCCCOC(=O)CC(C)C? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха применимы к молекуле Butanoic acid, 3-methyl-, pentyl ester? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",свежий;фруктовый;шоколадный;банановый;яблочный;,
6,3-Methylhex-2-en-1-yl acetate,CCCC(C)=CCOC(C)=O,,,спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха применимы к молекуле CCCC(C)=CCOC(C)=O? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,Какие из следующих описаний запаха применимы к молекуле 3-Methylhex-2-en-1-yl acetate? Выберите все подходящее из [спиртовой; альдегидный; чесночный; миндальный; амбровый; животный; анисовый; яблочный; абрикосовый; ароматный; бальзамический; банановый; мясной; цитрусовый; ягодный; горький; смородиновый; коньячный; горелый; маслянистый; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; шоколадный; кокосовый; кофейный; коньячный; варёный; прохладный; корковый; кумариновый; сливочный; огуречный; молочный; сухой; землистый; летучий; жирный; броженный; рыбный; цветочный; свежий; фруктовый; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зеленый; боярышниковый; сенной; фундучный; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; молочный; лавандовый; зелёный; кожаный; лимонный; лилейный; солодовый; мясной; аптечный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; нейтральный; маслянистый; луковый; апельсиновый; нероли; ирисовый; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; кукурузный; картофельный; пудровый; резкий; редьковый; малиновый; спелый; жареный; цветочный; ромовый; сандаловый; пряный; резкий; дымный; мыльный; химозный; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; смолянистый; табачный; томатный; тропический; ванильный; овощной; древесный; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,цветочный;фруктовый;зеленый;,
