Dataset,Mixture 1,Mixture 2,Experimental Values,CID_count_1,CID_Mixture_1,CID_count_2,CID_Mixture_2,SMILES_1,compound.name_1,SMILES_2,compound.name_2,answer
Snitz 1,1,2,0.604166667,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,10,240;93009;323;8148;7762;3314;460;6184;798;6054,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",C1=CC=C(C=C1)C=O;CC(=O)OC1CC2CCC1(C2(C)C)C;C1=CC=C2C(=C1)C=CC(=O)O2;CCCCNCCCC;CCCC(=O)OCC;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CCCCCC=O;C1=CC=C2C(=C1)C=CN2;C1=CC=C(C=C1)CCO,"benzaldehyde;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;chromen-2-one;N-butylbutan-1-amine;ethyl butanoate;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;hexanal;1H-indole;2-phenylethanol",Slightly Dissimilar
Snitz 1,1,3,0.651041667,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,1,7710,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",CCCCCC1CCC(=O)O1,5-pentyloxolan-2-one,Slightly Dissimilar
Snitz 1,1,4,0.526041667,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,20,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",CC(C)CCOC(=O)C;CC(=O)OC1CC2CCC1(C2(C)C)C;CCCCSCCCC;C1=CC=C2C(=C1)C=CC(=O)O2;C1CCC(CC1)O;CCCCNCCCC;CC(C)(CCC1=CC=CC=C1)O;CC1=NC=CN=C1C;CSSSC;CCCC(=O)OCC;CC1(C2CCC(O1)(CC2)C)C;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CC(=CCCC(C)(C=C)O)C;CCC(OC)OC;CC1=CC2=C(C=C1)N=CC=C2;C1=CC=C(C=C1)CC(=O)O;CC1=CC(=O)CC(C1)(C)C;CCCC(=O)OCCC;CC(C)CC(=O)O,"3-methylbutyl acetate;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;1-butylsulfanylbutane;chromen-2-one;cyclohexanol;N-butylbutan-1-amine;2-methyl-4-phenylbutan-2-ol;2,3-dimethylpyrazine;(methyltrisulfanyl)methane;ethyl butanoate;1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;(3R)-3,7-dimethylocta-1,6-dien-3-ol;1,1-dimethoxypropane;6-methylquinoline;2-phenylacetic acid;3,5,5-trimethylcyclohex-2-en-1-one;propyl butanoate;3-methylbutanoic acid",Slightly Similar
Snitz 1,1,5,0.505208333,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,30,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",CCCCCOC(=O)CCC;CC(=O)OC1CC2CCC1(C2(C)C)C;CCCCSCCCC;CC1=CC(=C(C=C1Cl)C(C)C)O;C1=CC=C2C(=C1)C=CC(=O)O2;CC1=CC=C(C=C1)OC(=O)C;C1CCC(CC1)O;CCCCNCCCC;CC(C)(CCC1=CC=CC=C1)O;CC1=CN=C(C=N1)C;CSSSC;CCCC(=O)OCC;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CCCCCC=O;CCCCCC(=O)O;CCCCCCO;CCCC(CC)O;CCCC=CC=O;C1=CC=C2C(=C1)C=CN2;CC(=CCCC(C)(C=C)O)C;CCC(OC)OC;CC1=CC2=C(C=C1)N=CC=C2;CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C;C1=CC=C(C=C1)CC(=O)O;C#CC1=CC=CC=C1;CC1=CC(=O)CC(C1)(C)C;CCCC(=O)OCCC;CCCCCCCC1CCC(=O)O1;CC(C)CC(=O)O,"pentyl butanoate;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;1-butylsulfanylbutane;4-chloro-5-methyl-2-propan-2-ylphenol;chromen-2-one;(4-methylphenyl) acetate;cyclohexanol;N-butylbutan-1-amine;2-methyl-4-phenylbutan-2-ol;2,5-dimethylpyrazine;(methyltrisulfanyl)methane;ethyl butanoate;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;hexanal;hexanoic acid;hexan-1-ol;hexan-3-ol;(E)-hex-2-enal;1H-indole;(3R)-3,7-dimethylocta-1,6-dien-3-ol;1,1-dimethoxypropane;6-methylquinoline;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;2-phenylacetic acid;ethynylbenzene;3,5,5-trimethylcyclohex-2-en-1-one;propyl butanoate;5-heptyloxolan-2-one;3-methylbutanoic acid",Slightly Similar
Snitz 1,1,6,0.411458333,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,40,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",CCCCCC1CCC(=O)O1;CC(C)CCOC(=O)C;CCCCCOC(=O)CCC;C1=CC=C(C=C1)C=O;CC(=O)OC1CC2CCC1(C2(C)C)C;CCCCSCCCC;CC1=CC(=C(C=C1Cl)C(C)C)O;C1=CC=C2C(=C1)C=CC(=O)O2;CC1=CC=C(C=C1)OC(=O)C;C1CCC(CC1)O;CCCCNCCCC;CCCC(=O)OC(C)(C)CC1=CC=CC=C1;CC(C)(CCC1=CC=CC=C1)O;CC1=NC=CN=C1C;CC1=CN=C(C=N1)C;CSSSC;CCCC(=O)OCC;CCC1=NC=CN=C1;CC1(C2CCC(O1)(CC2)C)C;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CCCCCCC=O;CCCCCC=O;CCCCCC(=O)O;CCCCCCO;CCCC(CC)O;CCCC=CC=O;C1=CC=C2C(=C1)C=CN2;CC(=CCCC(C)(C=C)O)C;CCC(OC)OC;CC1=CC2=C(C=C1)N=CC=C2;CCCC(=O)SC;CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C;C1=CC=C(C=C1)CC(=O)O;C#CC1=CC=CC=C1;C1=CC=C(C=C1)CCO;CC1=CC(=O)CC(C1)(C)C;CCCC(=O)OCCC;CCCCCCCC1CCC(=O)O1;CC(C)CC(=O)O,"5-pentyloxolan-2-one;3-methylbutyl acetate;pentyl butanoate;benzaldehyde;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;1-butylsulfanylbutane;4-chloro-5-methyl-2-propan-2-ylphenol;chromen-2-one;(4-methylphenyl) acetate;cyclohexanol;N-butylbutan-1-amine;(2-methyl-1-phenylpropan-2-yl) butanoate;2-methyl-4-phenylbutan-2-ol;2,3-dimethylpyrazine;2,5-dimethylpyrazine;(methyltrisulfanyl)methane;ethyl butanoate;2-ethylpyrazine;1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;heptanal;hexanal;hexanoic acid;hexan-1-ol;hexan-3-ol;(E)-hex-2-enal;1H-indole;(3R)-3,7-dimethylocta-1,6-dien-3-ol;1,1-dimethoxypropane;6-methylquinoline;S-methyl butanethioate;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;2-phenylacetic acid;ethynylbenzene;2-phenylethanol;3,5,5-trimethylcyclohex-2-en-1-one;propyl butanoate;5-heptyloxolan-2-one;3-methylbutanoic acid",Strongly Similar
Snitz 1,1,7,0.5625,10,6501;264;2879;7685;7731;326;7888;61138;8030;1183,4,93009;460;443158;6544,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2;CCCC(=O)O;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)OC(=O)C(C)C;CC1=CC=C(C=C1)OC;CC(C)C1=CC=C(C=C1)C=O;CC(CCCC(C)(C)O)CC=O;C=CCCC(=O)O;C1=CSC=C1;COC1=C(C=CC(=C1)C=O)O,"ethyl 3-methyl-3-phenyloxirane-2-carboxylate;butanoic acid;4-methylphenol;(4-methylphenyl) 2-methylpropanoate;1-methoxy-4-methylbenzene;4-propan-2-ylbenzaldehyde;7-hydroxy-3,7-dimethyloctanal;pent-4-enoic acid;thiophene;4-hydroxy-3-methoxybenzaldehyde",CC(=O)OC1CC2CCC1(C2(C)C)C;COC1=CC=CC=C1O;CC(=CCCC(C)(C=C)O)C;CC1=CC(=O)CC(C1)(C)C,"[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;2-methoxyphenol;(3R)-3,7-dimethylocta-1,6-dien-3-ol;3,5,5-trimethylcyclohex-2-en-1-one",Slightly Similar
Snitz 1,8,2,0.755208333,1,5283349,10,240;93009;323;8148;7762;3314;460;6184;798;6054,CCCCCC=CC=CC=O,"(2E,4E)-deca-2,4-dienal",C1=CC=C(C=C1)C=O;CC(=O)OC1CC2CCC1(C2(C)C)C;C1=CC=C2C(=C1)C=CC(=O)O2;CCCCNCCCC;CCCC(=O)OCC;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CCCCCC=O;C1=CC=C2C(=C1)C=CN2;C1=CC=C(C=C1)CCO,"benzaldehyde;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;chromen-2-one;N-butylbutan-1-amine;ethyl butanoate;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;hexanal;1H-indole;2-phenylethanol",Strongly Dissimilar
Snitz 1,8,3,0.684895833,1,5283349,1,7710,CCCCCC=CC=CC=O,"(2E,4E)-deca-2,4-dienal",CCCCCC1CCC(=O)O1,5-pentyloxolan-2-one,Strongly Dissimilar
Snitz 1,8,4,0.848958333,1,5283349,20,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,CCCCCC=CC=CC=O,"(2E,4E)-deca-2,4-dienal",CC(C)CCOC(=O)C;CC(=O)OC1CC2CCC1(C2(C)C)C;CCCCSCCCC;C1=CC=C2C(=C1)C=CC(=O)O2;C1CCC(CC1)O;CCCCNCCCC;CC(C)(CCC1=CC=CC=C1)O;CC1=NC=CN=C1C;CSSSC;CCCC(=O)OCC;CC1(C2CCC(O1)(CC2)C)C;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CC(=CCCC(C)(C=C)O)C;CCC(OC)OC;CC1=CC2=C(C=C1)N=CC=C2;C1=CC=C(C=C1)CC(=O)O;CC1=CC(=O)CC(C1)(C)C;CCCC(=O)OCCC;CC(C)CC(=O)O,"3-methylbutyl acetate;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;1-butylsulfanylbutane;chromen-2-one;cyclohexanol;N-butylbutan-1-amine;2-methyl-4-phenylbutan-2-ol;2,3-dimethylpyrazine;(methyltrisulfanyl)methane;ethyl butanoate;1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;(3R)-3,7-dimethylocta-1,6-dien-3-ol;1,1-dimethoxypropane;6-methylquinoline;2-phenylacetic acid;3,5,5-trimethylcyclohex-2-en-1-one;propyl butanoate;3-methylbutanoic acid",Strongly Dissimilar
Snitz 1,8,5,0.765625,1,5283349,30,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,CCCCCC=CC=CC=O,"(2E,4E)-deca-2,4-dienal",CCCCCOC(=O)CCC;CC(=O)OC1CC2CCC1(C2(C)C)C;CCCCSCCCC;CC1=CC(=C(C=C1Cl)C(C)C)O;C1=CC=C2C(=C1)C=CC(=O)O2;CC1=CC=C(C=C1)OC(=O)C;C1CCC(CC1)O;CCCCNCCCC;CC(C)(CCC1=CC=CC=C1)O;CC1=CN=C(C=N1)C;CSSSC;CCCC(=O)OCC;COC1=C(C=CC(=C1)CC=C)O;COC1=CC=CC=C1O;CCCCCC=O;CCCCCC(=O)O;CCCCCCO;CCCC(CC)O;CCCC=CC=O;C1=CC=C2C(=C1)C=CN2;CC(=CCCC(C)(C=C)O)C;CCC(OC)OC;CC1=CC2=C(C=C1)N=CC=C2;CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C;C1=CC=C(C=C1)CC(=O)O;C#CC1=CC=CC=C1;CC1=CC(=O)CC(C1)(C)C;CCCC(=O)OCCC;CCCCCCCC1CCC(=O)O1;CC(C)CC(=O)O,"pentyl butanoate;[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate;1-butylsulfanylbutane;4-chloro-5-methyl-2-propan-2-ylphenol;chromen-2-one;(4-methylphenyl) acetate;cyclohexanol;N-butylbutan-1-amine;2-methyl-4-phenylbutan-2-ol;2,5-dimethylpyrazine;(methyltrisulfanyl)methane;ethyl butanoate;2-methoxy-4-prop-2-enylphenol;2-methoxyphenol;hexanal;hexanoic acid;hexan-1-ol;hexan-3-ol;(E)-hex-2-enal;1H-indole;(3R)-3,7-dimethylocta-1,6-dien-3-ol;1,1-dimethoxypropane;6-methylquinoline;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;2-phenylacetic acid;ethynylbenzene;3,5,5-trimethylcyclohex-2-en-1-one;propyl butanoate;5-heptyloxolan-2-one;3-methylbutanoic acid",Strongly Dissimilar
