question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer
1,helional,CC(CC1=CC2=C(C=C1)OCO2)C=O,,,hOR1A2;nan;hOR3A1_R125Q;hOR1A1;hOR1D2;hOR1G1;hOR52D1,or_activation,Among the following [hOR1A2;nan;hOR3A1_R125Q;hOR1A1;hOR1D2;hOR1G1;hOR52D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(CC1=CC2=C(C=C1)OCO2)C=O] activates. Do not write any comments.,Among the following [hOR1A2;nan;hOR3A1_R125Q;hOR1A1;hOR1D2;hOR1G1;hOR52D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [helional] activates. Do not write any comments.,hOR1A2;hOR1A1;hOR52D1
2,Cyclopropanecarboxylic acid,CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Cyclopropanecarboxylic acid] activates. Do not write any comments.,hOR5A2
3,2-Methylpyrazine,CC1=NC=CN=C1,,,hOR5K1;hOR5K4;hOR1G1;hOR1A2;OR5K3;hOR1A1;hOR52D1;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;hOR1G1;hOR1A2;OR5K3;hOR1A1;hOR52D1;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=NC=CN=C1] activates. Do not write any comments.,Among the following [hOR5K1;hOR5K4;hOR1G1;hOR1A2;OR5K3;hOR1A1;hOR52D1;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Methylpyrazine] activates. Do not write any comments.,hOR5K1;hOR1G1
4,methyl cinnamate,COC(=O)/C=C/C1=CC=CC=C1,,,hOR1D2;hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR1D2;hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [COC(=O)/C=C/C1=CC=CC=C1] activates. Do not write any comments.,Among the following [hOR1D2;hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [methyl cinnamate] activates. Do not write any comments.,hOR1D2;hOR2W1;hOR2W1_D296N;hOR2W1_M81V
5,Heptan-2-ol,CCCCCC(C)O,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCC(C)O] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Heptan-2-ol] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
6,"(2R/2S)-2-Methylbutylacetate, sum of isomers",CCC(C)CCC(=O)[O-],,,hOR2W1;hOR5K1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR5K1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC(C)CCC(=O)[O-]] activates. Do not write any comments.,"Among the following [hOR2W1;hOR5K1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(2R/2S)-2-Methylbutylacetate, sum of isomers] activates. Do not write any comments.",hOR2W1
7,tonalide,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [tonalide] activates. Do not write any comments.,hOR5A2;hOR11A1
8,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR5M3;hOR8D1;hOR11A1;hOR8H1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR5M3;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCOC(=O)CC1=CC=CC=C1] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR5M3;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Ethyl phenylacetate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1
9,4-Ethenylphenol,C=CC1=CC=C(C=C1)O,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C=CC1=CC=C(C=C1)O] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [4-Ethenylphenol] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
10,Thiophen-2-ylmethanethiol,C1=CSC(=C1)CS,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CSC(=C1)CS] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR5M3;hOR1A1;hOR8D1;hOR11A1;hOR8H1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Thiophen-2-ylmethanethiol] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
