model,release_date,correct_p1,correct_p2,total,accuracy_p1,accuracy_p2,avg_accuracy,non_empty_p1,non_empty_p2
gpt_4o,2024-05,10,14,30,33.3,46.7,40.0,30,30
gpt_4_turbo,2024-04,9,15,30,30.0,50.0,40.0,30,30
gpt_4,2023-03,10,13,30,33.3,43.3,38.3,30,30
phi_3_mini,2024-04,8,13,30,26.7,43.3,35.0,30,30
mistral_7b_v0_1,2023-09,10,10,30,33.3,33.3,33.3,30,30
claude_3_haiku,2024-03,8,12,30,26.7,40.0,33.3,30,30
gpt_3_5_turbo_instruct,2023-09,8,11,30,26.7,36.7,31.7,30,30
gpt_4o_mini,2024-07,8,10,30,26.7,33.3,30.0,30,30
gpt_3_5_turbo,2022-11,8,10,30,26.7,33.3,30.0,30,30
phi_2,2023-12,11,6,30,36.7,20.0,28.3,30,23
llama_3_1_8b,2024-07,7,10,30,23.3,33.3,28.3,30,30
bloom_7b1,2022-07,9,5,30,30.0,16.7,23.3,30,26
qwen_7b,2023-08,7,5,30,23.3,16.7,20.0,30,30
qwen2_7b,2024-06,6,5,30,20.0,16.7,18.3,30,30
cerebras_gpt_6_7b,2023-03,7,4,30,23.3,13.3,18.3,30,30
yi_6b,2023-11,6,4,30,20.0,13.3,16.7,26,30
davinci_002,2023-12,5,4,30,16.7,13.3,15.0,30,30
gpt_neo_2_7b,2021-03,3,5,30,10.0,16.7,13.3,30,30
llama_2_7b,2023-07,3,2,30,10.0,6.7,8.3,30,30
galactica_6_7b,2022-11,5,0,30,16.7,0.0,8.3,29,30
flan_t5_xl,2022-10,1,4,30,3.3,13.3,8.3,30,30
gpt_2,2019-02,1,2,30,3.3,6.7,5.0,30,30
llama_1_7b,2023-02,2,0,30,6.7,0.0,3.3,30,30
gpt_j_6b,2021-06,1,0,30,3.3,0.0,1.7,2,1
mt5_xl,2021-01,1,0,30,3.3,0.0,1.7,30,30
gpt_neox_20b,2022-02,0,0,30,0.0,0.0,0.0,0,0
opt_6_7b,2022-05,0,0,30,0.0,0.0,0.0,0,0
pythia_6_9b,2022-07,0,0,30,0.0,0.0,0.0,0,0
falcon_7b,2023-06,0,0,30,0.0,0.0,0.0,0,1
t0_3b,2022-03,0,0,30,0.0,0.0,0.0,30,30
t5_v1_1_xl,2022-02,0,0,30,0.0,0.0,0.0,30,30
babbage_002,2023-12,0,0,30,0.0,0.0,0.0,30,30
